Ad title,Keywords
xamarin developer,xamarin|c#
data engineer,git|nosql|database|python
react native developer,react-native|java-script
data engineer,kafka|nosql|python|hadoop|luigi|sql|airflow|database|spark
software test engineer,blockchain|unit-testing
back-end developer,back-end|nodejs|linux
php developer,php|mvc|laravel|rest-full-api
full-stack developer,css|laravel|rest-full-api|my-sql|java-script|php|html
C ++  developer,c++|object-oriented-programing|nosql|sql|git
block chain developer,erc20|trc20|solidity|utxo|blockchain
c# developer,server|c#|sql
full-stack developer,css|my-sql|bootstrap|php|html
front-end developer,css|jquery|front-end|java-script|bootstrap|angular|react.js|html
php developer,linux|my-sql|php|git|mvc
.net developer,entity|object-oriented-programing|asp.net|c#|core
wordpress developer,css|jquery|rest-full-api|wordpress|woocommerce|java-script|php|html
php developer,symfony|php
c# developer,entity|asp.net|c#|server|sql
back-end developer,mvc|my-sql|laravel|php
.net developer,entity|css|jquery|asp.net|java-script|c#|mvc|html
laravel developer,git|my-sql|laravel|php
flutter developer,dart|git|flutter|pwa
senior django developer,rust|django|python|c++|git
full-stack developer,git|python
wordpress developer,css|cpanel|photoshop|java-script|html
java developer,spring|object-oriented-programing|linux|design-pattern|git|java
react native developer,react-navigation|fcm|react-hook|react-native|git|react.js|react-redux
database expert and operting system,windows-server|microsoft-sql-server
front-end developer,ssr|material-ui|rest-full-api|bootstrap|react.js
it support expert,seo|database|windows|wordpress
senior it support expert,ccnp|sharepoint|server|administering|switching|mcse|ccna|windows|network+|cisco|mcitp
help desk,active-directory|software-installation|network|microsoft-office
vmware virtualization expert,virtualization-infrastructure|vmware|troubleshooting|veeam|veritas
voip network expert,cisco|voip|elastic-search|troubleshooting
sysadmin expert,chef|network|prometheus|linux|ansible|docker|elk|monitoring|puppet
it support expert,it|instrastrucutre|network|internet
computer technician,network|passive|windows|microsoft-office
linux support,network|linux|server|bash-scripting|monitoring
network expert,active|network|virtualization|passive|mcse|ccna
host and server support expert,virtualization|hosting-support|windows-server|microsoft-sql-server|monitoring
network and security expert,network|network-architecture|firewall|cisco|microsoft
expert in providing demos and software needs assessment,cms-software|website-design
mobile application penetration testing expert,mobile-penetration-testing|ios|android|owasp|penetration-testing-framework
cctv sales expert,cctv|sales|communication-skill
penetration testing expert,os|network|asp.net|owasp|php|security-assesment
information security management system (isms) Expert,network+|isms-implementation|information-security-management-system|security+
cctv installation and maintenance expert,configuration-management|passive|mtcna|cctv|windows|ccna|nvr
computer expert,network|infrastructure|sql
informatics expert,network|virtualization|antivirus|security|windows|microsoft
network technical expert,network|public-relation|support|telephone-support
voice technical expert,lpic|sip|mtcna|tcp-ip|ccna|voip
linux expert,network|nginx|kubernetes|zabbix|ansible|linux|python|haproxy|docker|elk
network and hardware expert,microtik|active-directory|vmware|switching|backup|cisco|veeam|vcenter
network expert,data-center|network|ccnp|security|firewall|monitoring
it expert,it|support|help-desk|troubleshooting
front-end developer,css|front-end|java-script|react.js|html
full-stack developer,css|my-sql|java-script|php|html
full-stack developer,object-oriented-programing|css|jquery|java-script|php|html
flutter developer,flutter|git|kotlin|rest-full-api
flutter developer,css|flutter|git|agile|html
front-end developer,bootstrap|css|html
javascript programmer,java-script|nodejs|koa.js|express.js|database
react native developer,react-redux|react.js
laravel developer,css|laravel|my-sql|java-script|php|html
wordpress developer,illustrator|photoshop|wordpress
mobile application developer,mvvm|mvp|android|ios|mv
software deployment expert,network|web|linux-server|sql|routing
software analyser,documenting|rest-full-api|visio|paradigm|soap|visual|jira|uml|confluence|postman
web developer,vue.js|django|laravel|java-script|nodejs|angular
back-end developer,rest-full-api|database-optimization|my-sql|git|mvc
front-end developer,css|rest-full-api|java-script|angular|bootstrap|responsive-design|sass|html
back-end developer,asp.net|core|scrum|sql|agile
front-end developer,css|jquery|web-api|responsive-design|type-script|java-script|scrum|bootstrap|angular|git|agile|html
front-end developer,css|django|jquery|oopgit|postgre-sql|my-sql|python|java-script|scrum|angular|agile|html
content producer,math|microsoft-powerpoint
sofware support,accounting|icdl|database
full-stack developer,vue.js|object-oriented-programing|css|laravel|rest-full-api|java-script|php|html
front-end developer,css|jquery|ajax|angular|scrum|bootstrap|responsive-design|git|react.js|sass|html
php developer,css|jquery|my-sql|script|bootstrap|php|java|html
sysadmin,virtualization|bash|docker|script|monitoring
front-end developer,react.js|vue.js|java-script
.net developer,rest-full-api|asp.net|c#|server|core|sql|mvc
android developer,android|android-studio
php developer,php|my-sql|laravel|rest-full-api
full stack developer,front-end|back-end|bot-programmimg
senior flutter developer,object-oriented-programing|android|flutter|dart|git
ui/ux designer,sketch|ui|ux|scrum|adobe-xd
wordpress developer,css|wordpress|java-script|php|html
senior front-end developer,css|front-end|java-script|bootstrap|react.js|html
linux expert,cloud|linux|windows-server|python|c++|git|jira
Linux Embedded programming,linux
linux support expert,voip|linux|network|virtualization
linux support expert,containerization|nginx|load-balancing|linux|my-sql|apache
datacenter expert,ccnp|virtualization|waf|vcp|linux|cisco|monitoring|database
junior back-end developer,go-lang|laravel|my-sql|linux|nodejs|php|git
junior sysadmin,linux|virtualization
junior devops engineer,linux|my-sql
junior help-desk,network|linux
senior linux enginner,network|virtualization|zabbix|windows-server|linux|whmcs
junior devops,containerization|virtualization|kubernetes|linux|docker|script|monitoring
hardware design,pcb|qt|linux|image-processing|avr|arm
junior network support,communication-skill|network|microsoft-office|linux|windows
c++ developer,linux|microsoft-sql-server|my-sql|c++|database
python developer,object-oriented-programing|rest-full-api|nosql|python|sql|git
senior django developer,git|python|django|rest-full-api
django developer,django|nodejs|python
senior django developer,django|postgre-sql|my-sql|python|git
python developer,python|rest-full-api|sql
python developer,matlab|python
python developer,django|python
network defensive specialist,microtik|fortinet|siem|firewall|cisco|network+
datacenter network engineer,ccnp|datacenter|nexus|switching|routing
soc expert,security+|soc
senior front-end developer,front-end|type-script|java-script|react-hook|react.js
junior .net developer,web-api|asp.net|microsoft-sql-server|java-script|c#
senior java developer,mongo-db|java-ee|micro-service|sql|java
junior devops engineer,devops
junior front-end developer,front-end|react.js|css|html
front-end developer,css|front-end|java-script|angular|html
junior vue developer,vuex|vue.js|vue-cli|vuetify.js
senior front-end developer,java-script|design-ant|responsive-design|git|react.js
ios developer,ios|swift|cocoapods
senior android developer,rest-full-api|android|android-room|geolocation|kotlin
qa-specialist,rest-full-api|postman
senior vue developer,vue.js|css|es6|java-script|html
junior android developer,android|java
junior embedded linux developer,buildroot|embedded-linux|qmake|open-embedded|makefile
senior front-end developer,webpack|react.js|java-script|react-saga
senior django developer,django|kubernetes|python|container|flask
senior django developer,django|linux|python
senior full-stack developer,vue.js|css|laravel|nodejs|html
senior full-stack developer,vue.js|css|java-script|nodejs|html
junior front-end developer,html|css|java-script
web developer,css|jquery|asp.net|java-script|html
senior android developer,android|rest-full-api|php
junior laravel developer,laravel|linux|php|git|redis
front-end developer,css|jquery|java-script|bootstrap|git|sass|html
senior back-end developer,designing|object-oriented-programing|rest-full-api|micro-service|solod
front-end developer,css|type-script|java-script|angular|html
erp expert,css|microsoft-sql-server|erp|html|t-sql
software support expert,icdl|css|microsoft-sql-server|network+|html
ui/ux designer,sketch|ui|ux|userflow|photoshop|responsive-design|user-stories
devops engineer,gira|jenkins|linux|docker|devops|git
.net developer,back-end|asp.net|c#|rest-full-api
software support expert,microsoft-office|software-support|c#|sql|vb
c c++ developer,iar|keil|gids|c++|piv|c
software expert,css|rest-full-api|ios|android|java-script|html
software analysis and design expert,css|bpms|java-script|sql|html
software testing expert,load-test|sql|test-case|automation-test|performance-test
back-end developer,mongo-db|back-end|nosql|source-control|dynamodb
senior back-end developer,laravel|back-end|android|ios|cloud|my-sql|pwa|php
senior wordpress developer,css|jquery|responsive-design|java-script|php|html
web developer,css|wordpress|photoshop|cms|html
web developer,css|jquery|asp.net|bootstrap|mvc|html
senior wordpress developer,css|wordpress|script|php|java|html
full-stack developer,mongo-db|bdd|elastic-search|redis|tdd
front-end developer,css|es6|java-script|git|html
back-end developer,mongo-db|rest-full-api|java-script|nodejs|json
wordpress developer,css|jquery|wordpress|bootstrap|html
front-end developer,linux|java-script|angular|tabular|react.js|html
web developer,css|jquery|asp.net|microsoft-sql-server|html
back-end developer,graphql|rest-full-api|asp.net|microsoft-sql-server|solid|redis
front-end developer,ssr|csr|es6|java-script|json|nuxt.js|sass|html
wordpress developer,css|jquery|wordpress|java-script|php|html
back-end developer,rest-full-api|automated-testing|nodejs|express.js|database
wordpress developer,ui|ux|bookly|yoast|woocommerce|rating|seo|star|learndash|kk|schema
Java senior programmer,programming|git|java|object-oriented-programming
junior nodejs developer,web-socket|rest-full-api|postgre-sql|java-script|nodejs|scrum|git|express.js
front-end developer,css|jquery|java-script|git|react.js|html
c developer,network-stream|network|c-networking|linux|c++
.net developer,mvc|asp.net|c#
back-end developer,principle|entity-framework|rest-full-api|asp.net|c#|git|database
c# developer,android|microsoft-excel|c#|development|server|sql|microsoft
ui/ux designer ,designing|ux|ui|css|java-script|svg|html
android developer,git|java|android-studio
front-end developer,vue.js|css|jquery|java-script|react-native|react.js|microsoft-visual-studio|git|jira|microsoft|html
front-end developer,entity-framework|css|jquery|rest-full-api|html|asp.net|java-script|c#|angular|git|microsoft|microsoft-visual-studio
back-end developer,django|laravel|python|php|git|java
c# developer,java-script|c#|t-sql
software support expert,bpmn|activity-diagram|rupuse|erd|state-diagram-sequence-diagram|uml
Developer SharePoint,css|jquery|rest-full-api|asp.net|windows-server|microsoft-sql-server|java-script|c#|angular|microsoft-analysis-services|microsoft-visual-studio|react.js|microsoft|html
wordpress developer,css|jquery|wordpress|elementor|woocommerce|seo|photoshop|java-script|bootstrap|html
senior .net developer ,entity-framework|asp.net
Trade intelligence expert,microsoft-excel|microsoft-outlook|microsoft-sql-server
Java developer ,git|java
Linux Administrator,network|firewall|cloud|server-virtualizaation|linux|ci|visualization|devops|cd
back-end developer,django|http|back-end|python|git|flask
front-end developer,css|rest-full-api|state-management-systems|type-script|linux|java-script|git|react.js|html
PHP developer,ux|ui|css|my-sql|cpanel|svn|bootstrap|php|direct-admin|html
c# developer,c#
scrum master,scrum
front-end developer,ui|jquery|laravel|css|java-script|git|html
back-end developer,object-oriented-programing|tfs|css|jquery|azure|web-form|asp.net|microsoft-sql-server|java-script|ajax|bootstrap|responsive-design|git|dnn|html
.net developer,microsoft-sql-server
Software Analysis Expert,microsoft-word|microsoft-excel|microsoft-powerpoint
c# developer,object-oriented-programing|go-lang|microsoft-sql-server|c#|sql|t-sql
c# developer,mvvm|c#|wpf|sql|binding
front-end developer,vue.js|css|jquery|rest-full-api|java-script|git|jira|html
php programmer,mongo-db|vue.js|laravel|postgre-sql|windows-server|microsoft-sql-server|my-sql|php|ubuntu|git|jira
Unity Programmer,adobe-photoshop|git|unity|c#
front-end developer,ssr|material-ui|object-oriented-programing|css|es6|next.js|java-script|ssg|seo|react-redux|react.js|html|middlewares
senior python django developer,vue.js|peer-review|django|rest-full-api|css|linux|python|java-script|sql|git|mvc|html
expert reports,database|pl|sql
.net developer,entity-framework|structure|rest-full-api|nosql|asp.net|c#|data|sql
.net developer,entity|rest-full-api|asp.net|c#|java-script|strong|core|sql|mvc
python developer,django|rest-full-api|postgre-sql|my-sql|python|git|flask
android developer,unit|designing|s-library|api-firebase|android-jetpack|software-testing|design-pattern|solid|git|java|kotlin
wordpress developer,css|html|wordpress
software technical support,asp.net|my-sql|microsoft-sql-server|c#|microsoft-visual-studio|t-sql
.net developer,entity|rest-full-api|asp.net|unit-testing|c#|nodejs|core|git|mvc
scrum master,communication-skill|problem-solving|scrum|decision-making|agile|crisis-management
senior front-end developer,css|context|es6|java-script|scss|react-redux|react.js|html
senior python developer,object-oriented-programing|sql|django|css|jquery|postgre-sql|my-sql|python|java-script|angular|git|html
android developer,studio|androidx|android-sdk|android|jetpack|mvm|git|java
php developer,rest-full-api|ci|java-script|cd|designing|css|jquery|solid|object-oriented-programing|lumen|my-sql|micro-service|version|git|laravel|unit-testing|linux|design-pattern|caching|controlling-systems|soa|react.js|html
full-stack developer,nest.js|orm|entity|css|ui|ux|responsive-design|asp.net|c#|bootstrap|sql|?web-api
front-end developer,ui|rest-full-api|photoshop|react-native|react-redux|react.js|sass
wordpress developer,wordpress
SharePoint Developer,cube|rest-full-api|ssrs|iis|search|sharepoint|power|c#|bi|server|view|json|sql|adfs|nintex|infopath
network administrator,network-administration|ccnp|nexus|asp.net|fortigate|network-security|asa|firepower|wlc
social-media expert,linux|network|microtik|reporting
web-site operator,information-input|website-operator|operator
marketing expert,digital-marketing|microsoft-office|advertising|content-creation
network expert,cisco|network-security|network|es6
network expert,network|network-security|ccna|network+|cisco
ios developer,mvvm|object-oriented-programing|ios|swift|git
soical-media expert,digital-marketing|graphic-design
php developer,css|laravel|back-end|java-script|php|git|mvc|html
network expert,network|troubleshooting|msca|ccna|network+|cisco
network expert,network|mcitp
front-end developer,css|jquery|ui-test|next.js|ajax|java-script|npm|bootstrap|webpack|react-redux|react.js|sass|html
network technician,network|coipsip|lpic|socket-programming|ccna|troubleshooting
network expert,firewall|routing|network|switching
network expert,cisco|network|mcse|ccna
network expert,firewall|network|mtcre|ccna
network expert,network|virtualization|network-security|mcse|mcsa
network expert,network|ccnp|switching|routing|cisco
network expert,cisco|network|ccnp|troubleshooting
network administrator,network|vmware|firewall|routing|cisco
linux hosting technician,network|linux|lpic|hosting-support
network expert,firewall|network|ccna|active-esx
datacenter operations expert,datacenter|network|hosting-support
network expert,active|voip|passive|network
datacenter manager,datacenter|network|passive
datacenter operations expert,network|lpic|linux|dns|troubleshooting|monitoring|mcsa
datacenter operations expert,devops|bash|linux|system-administrator
python-developer cpp-developer,network|linux|python|development|c++
front-end developer,linux|python|c++|c|java
security backup expert,vue.js|css|rest-full-api|es6|java-script|html
security operations center analyst,network|lpic|linux|ccna|network-equipment
software test expert,network|powershell|bash|python|selenium|network-equipment
sales engineering expert,it|e-commerce|security+|ccna|network-equipment
development and planning expert,organization-procedure|strategic-management|strategic-planning|organization-theory|mba
full-stack developer,mvp|ios|front-end|back-end|android|git
back-end developer,asp.net|my-sql|java-script|rest-full-api
full-stack developer,vue.js|cto|java-script|startup|team-working
front-end developer,css|java-script|nodejs|angular|git|html
mobile developer,design-pattern|solid|rest-full-api
back-end developer,object-oriented-programing|rest-full-api|my-sql|design-pattern|redis
seo expert,search-engine
back-end developer,http|laravel|rest-full-api|my-sql|php|git
front-end developer,vue.js|java-script|json|angular|react.js
front-end developer,css|rest-full-api|java-script|scream|angular|git|html
mobile developer,git|react.js|type-script|java-script
qt,automation|qt
content-production,css|wordpress|my-sql|seo|php
java developer,object-oriented-programing|hibernate|jap|rest-full-api
.net developer,rest-full-api|asp.net|sql|http|react.js|clean-code|c
php developer,cms|php
hardware expert,embedded|ros|git|iot
Technical support expert,laravel|front-end|back-end|cto|agile
back-end developer,django|python|php
front-end developer,css|java-script|json|bootstrap|html
windows,game|dmm
wordpress developer,seo|php|wordpress
back-end developer,object-oriented-programing|c#|sql|c|mvc
seo expert,google-analytics|seo|php|adwords|team-working
seo expert,adwords|google-analytics|seo|web-master|php|team-working
back-end developer,back-end|development|linux|c++
web designer,object-oriented-programing|asp.net|microsoft-sql-server|angular|mvc
php developer,css|jquery|rest-full-api|my-sql|java-script|bootstrap|php|html
python developer,microsoft-sql-server|java-script|python|html
laravel developer,css|laravel|my-sql|java-script|php|java
network admin,administering|network|security
network security expert,microtik|isms|kerio|switching|routing|cisco
network expert,lpic|active-directory|vmware|ccna|routing
network technician,active|passive|adsl|wireless
network expert,active|cisco|passive|utm
network technician,network+|passive
uml designer,designing|documenting|modeling|system|rup|scrum|software|git|agile
Windows programmer,object-oriented-programing|c#|server|erd|sql
front-end developer,vue.js|axios|rest-full-api|json|soap|react-redux|sass
electronics specialist,st|python|esp|iot|c|arm|arduino|raspberry-pi
laravel developer,laravel|php
senior software architect,cqrs|code-review|asp.net|design-pattern|c#|solid|clean-code|mvc|object-oriented-programming
.net developer,asp.net|microsoft-sql-server|c#
senior server developer,los|lom|hpe
junior iot developer,it|iot
full-stack developer,object-oriented-programing|c#|multi-thread-programming|sql|mvc
java developer,microsoft-sql-server|micro-service|hibernate|java-spring|spring-security|java-core
front-end developer,prime-ng|type-script|angular
.net core developer,css|web-api|asp.net|microsoft-sql-server|java-script|docker|html
 php developer,laravel|my-sql|yii|php|git
ui/ux designer,sketch|figma|ui|ux|prototyping|adobe-xd
ui/ux designer,figma|ui|ux|prototyping|photoshop|illustrator
front-end developer,front-end|type-script|java-script|angular|git
ui/ux designer,sketch|invision|zeplin|ui-design|adobe-xd
web designer,leamdash|web-design|site-design
senior android developer,mvvm|rest-full-api|android|git|kotlin
back-end developer,mongo-db|rest-full-api|back-end|nosql|nodejs
react native developer,graphql|react-hook|react-native|git|react.js
.net developer,front-end|back-end|asp.net
network expert,network+|help-desk
seo expert,seo|wordpress
full-stack developer,asp.net|microsoft-sql-server|java-script|css
hardware expert,server|network|linux
Network expert,active|for|virtualization|skype|business|vmware|switching|directory|routing|cisco
IT expert,lpic|passive|server|windows|ccna|network+
Expert devoS.,nginx|kubernetes|linux|ci|docker|redis|cd
IT expert,desk|passive|help|vmware|windows|application|network+
IT expert,management|google|media|social|seo|tag|marketing|adwords
Product Manager,ui|ux|firebase|zeplin|map|road|adobe-xd|adobe
network expert,network+|troubleshooting
network passive exper,network|passive|wireless
senior network security and firewall,firewall|network|juniper
react-native developer,okr|java-script|react-native|react.js|reduxios
Expert devoS.,git|openstack|nginx|docker
Linux System Administrator,bash|python|docker|openstack|es5
seo expert,seo
IT expert (IT),help|desk
Expert HelpDesk.,network+|mcsa|mcitp|mcse
Network Expert - Posyo,network|passive
Digital Martdown expert,wordpress|seo|photoshop|development|software|illustrator|adobe
Network expert,network|ccnp|linux|service|switching|routing|ccie
Network Security Expert,radius|ccnp|firewall|antivirus|ise|console|cisco|tacacs+|vpn|mgmt
Network expert,vmware|switching|ccna|troubleshooting|firewall|routing
Network expert,active|directory|rras|server|vmware|dns|windows|network+|dhcp
Network Expert,network+|microsoft|microsoft-office
senior front-end developer,react.js|es6|java-script|es7
senior android developer,mvvm|android|clean-architecture|unit-testing|java|kotlin
junior business-growth,growth|strategic-management|operation|research|business-analysis
market-research analyst,microsoft-excel|microsoft-office|data-analysing|marketing-research
product-owner,customer-experince|product|product-test|scrum|agile
product-manager,product|product-test|product-development|market-research
product-manager,customer-experince|product|planning|product-test|team-working
product-manager,product|product-development|fintech|business-analysis|database
product-owner,roadmap|product|backlog|creativity|product-test|scrum|agile
product-owner,product|product-design|product-development|user-journeys|wireframing
product-manager,product|backlog|okr|documenting|english|kpi|mba
product-owner,product|product-development|scrum|software-backlog-management|agile|team-working
product-manager,product|reporting|b2c|social-media|public-relation|mba
product-owner,product|reporting|documenting|kanban|product-development|agile
product-manager,it|product|b2b|product-development|google-analytics|scrum|sql|mba
product-owner,roadmap|product|roi|user-journeys|marketplace|agile
product-owner,system-design|product|balsamiq|product-development|product-test|uml
product-manager,product|market-research|backlog|creativity|customer-research|scrum
game product-manager,it|product|market-research|project-management|product-development|feasibility-check
junior website support,communication-skill|customer-support|mechanical-engineering|electric-engineering|support
junior sales and marketing,sales|time-management|marketing|public-relation|negotiation-skills|team-working
junior digital-marketing,digital-marketing|cpr|content-marketing|social-media|email-marketing|cpc
network admin,network|passive|network-fundamentals|t-shoot|mcsa
back-end developer,laravel|back-end|my-sql|php|mvc
junior digital-marketing,digital-marketing|campaign-development|seo|analysing|marketing-plan
head marketing,management|strategic-management|team-building|fmcg|team-working
business-growth manager,growth|market-research|okr|effective-communication|sales|business-model
junior strategy,management|strategic-management|critical-thinking|statistic|data|team-working
ar-vr developer,ar|project-management|vr|software-development
wordpress developer,sql|ux|css|wordpress|java-script|php|git|html
software support expert,accurate-consistent|microsoft-office|crm|art-of-expression|team-working
wordpress site support,wordpress|google-analytics|advertising-campaigns|php|content-production
network technical expert,microsoft-operating-systems|hardware|vmware|cisco-switches|san-operating-systems|english
hosting and datacent expert,windows-server-management|panel-management|lpic|debugging|web-concept|network-concept|linux-server|web-problem-analysis|switching|routing
full-stack programmer,socket-programing|ui|rest-full-api|tablet-vie-implementation|ai-plugins
network security equipment sales expert,it|network-concept|security-concept|ccna|network+
network equipment sales expert,customer-orientation|value-creation
ui-ux designer,ui|ux|creativity|graphic-design|idea-maker
artificial intelligence programmer,pytorch|nosql|python|machine-learning|tensorflow|git|deep-learning|data-mining
artificial intelligence programmer,pandas|nummpy|convolutional-networks|python|data-science-libraries|data-visualization
artificial intelligence programmer,risk-analysis|tracking-algorithms|expert-systems-skills|python|systems-design-expert|java
artificial intelligence programmer,pytorch|ai|tensor-flow|linux|python|machine-learning|git|deep-learning|scikit-learn|object-oriented-programming|team-working
digital marketing expert,consulting-advertising-campaigns|content-strategy|online-advertising|business-strategy|strategy-formulation|microsoft-excel|analysis-tools|digital-marketing-campaigns|advertising-campaigns
financial software support expert,accounting-software-analysis|financial-software-support-experience|delphi|accounting-software-deployment|software-testing|microsoft-sql-server|software-analysis|crm-software|ticketing-software
digital marketing strategist,digital-marketing|kpi-regulation|campaign-development|media-planning|analysis-tools|content-planing|proposal-development|social-networking-tools|budgeting-concepts
php-site designer,css|java-script|cms-design|php|html
digital marketing manager,digital-marketing|instagram|sales|website|advertising|marketing
digital advertising expert,video-ads|team-spirit|accurate-result-advertising|social-network|influence-marketing|consistent-result-advertising
full-stack developer ,mongo-db|java-script|nodejs|full-stack|angular|react.js
sql server developer,microsoft-sql-server|t-sql
react-native developer,react.js|java-script|rest-full-api
senior asp.net c# developer,web-form|asp.net|microsoft-sql-server|c#
front-end developer,css|front-end|bootstrap|react.js|html
full-stack PHP developer,full-stack|css|html|php
php developer,object-oriented-programing|lumen|laravel|my-sql|design-pattern|php|object-oriented-programming
front-end developer,graphql|rest-full-api|front-end|java-script|react.js
back-end developer,back-end|entity-framework|c#|rest-full-api
front-end developer,front-end|react.js
full-stack developer,mongo-db|css|nodejs|full-stack|html
sql server dba developer,database|microsoft-sql-server
front-end developer,css|front-end|angular|git|html
senior full-stack developer,css|laravel|jquery|java-script|php|html
full-stack developer,css|wordpress|back-end|php|cms|html
python  developer,python|object-oriented-programing|django
full-stack developer,css|nodejs|full-stack|git|html
internal technical expert,software-troubleshooting|passive-network|kerio|microtek|monitoring-network|network-support|voip
network expert,software-troubleshooting|software-infrastructure|network-troubleshooting|infrastructure-support|installation-software-infrastructure
antivirus technical support expert,antivirus-concept|installation-antivirus|support-antivirus|long-distance-mission|security-concept
 network network-security intern,netwrok|tcp-ip|english|network+|a-plus
firewall technical expert,server-concept|detect-error-logs|ccnp|network-concept|security-concept|vritualization-platform|english|network-troubleshooting|monitoring|network+|firewall-concept
network-security technical expert,netwrok-concept|ccnp|long-distance-mission|security+|ccna|firewall-concept
technical expert,antivirus|security-concept|english|firewall|mcitp
ASP Professional Programmer.Net.,entity|web|css|rest-full-api|asp.net|java-script|c#|server|bootstrap|sql|react.js|microsoft|html
partnership supervisor,analysing|institutional-relations|data-analysing|mba
art studio manager,art-director|designing|art-studio-manegment|graphic-design|photoshop
brand strategy supervisor,planning|advertising|advertising-campaigns|branding|marketing
advertising technology senior specialist,digital-marketing|product-development|data-analysing|advertising|software-engineering
pr/social media supervisor(scet),e-commerce|journalism|writing-ability|social-media|public-relation
graphic designer supervisor,visual-arts|media|photoshop|graphic-designer|after-effects
software engineer,sofware-engineering|rdbms|my-sql|docker|php
fresh graduates (software engineering),java|python|object-oriented-programming
react native developer,xcode|android-studio|java-script|react-native|gradle
data scientist,optimization|python|data-science|analysing|software-development
